With pivoting 	 Without pivoting 	 Matrix size
98 		 0.03400111198425293 	 0.03400111198425293
271 		 0.6823976039886475 	 0.6823976039886475
182 		 0.29711294174194336 	 0.29711294174194336
38 		 0.003348112106323242 	 0.003348112106323242
231 		 0.42972278594970703 	 0.42972278594970703
61 		 0.009498357772827148 	 0.009498357772827148
275 		 0.7076160907745361 	 0.7076160907745361
295 		 0.8553504943847656 	 0.8553504943847656
222 		 0.3609890937805176 	 0.3609890937805176
79 		 0.01973438262939453 	 0.01973438262939453
176 		 0.18485164642333984 	 0.18485164642333984
293 		 0.8184144496917725 	 0.8184144496917725
30 		 0.0015881061553955078 	 0.0015881061553955078
70 		 0.015060186386108398 	 0.015060186386108398
184 		 0.20920395851135254 	 0.20920395851135254
151 		 0.12168335914611816 	 0.12168335914611816
223 		 0.3665895462036133 	 0.3665895462036133
186 		 0.2216477394104004 	 0.2216477394104004
283 		 0.7398765087127686 	 0.7398765087127686
160 		 0.1418476104736328 	 0.1418476104736328
232 		 0.40955591201782227 	 0.40955591201782227
250 		 0.5182380676269531 	 0.5182380676269531
180 		 0.19767022132873535 	 0.19767022132873535
106 		 0.043943166732788086 	 0.043943166732788086
143 		 0.10535573959350586 	 0.10535573959350586
231 		 0.4657766819000244 	 0.4657766819000244
192 		 0.2440013885498047 	 0.2440013885498047
205 		 0.2881937026977539 	 0.2881937026977539
32 		 0.0018010139465332031 	 0.0018010139465332031
30 		 0.0015344619750976562 	 0.0015344619750976562
58 		 0.008310079574584961 	 0.008310079574584961
235 		 0.4320821762084961 	 0.4320821762084961
298 		 0.8730664253234863 	 0.8730664253234863
140 		 0.09562563896179199 	 0.09562563896179199
270 		 0.6501266956329346 	 0.6501266956329346
51 		 0.005956172943115234 	 0.005956172943115234
175 		 0.18225526809692383 	 0.18225526809692383
272 		 0.7356743812561035 	 0.7356743812561035
261 		 0.6458213329315186 	 0.6458213329315186
166 		 0.17370963096618652 	 0.17370963096618652
139 		 0.09630036354064941 	 0.09630036354064941
109 		 0.059989213943481445 	 0.059989213943481445
124 		 0.07255434989929199 	 0.07255434989929199
252 		 0.5404174327850342 	 0.5404174327850342
196 		 0.27044081687927246 	 0.27044081687927246
148 		 0.1209251880645752 	 0.1209251880645752
72 		 0.015881776809692383 	 0.015881776809692383
26 		 0.0011665821075439453 	 0.0011665821075439453
102 		 0.040427446365356445 	 0.040427446365356445
171 		 0.18644976615905762 	 0.18644976615905762
147 		 0.11231112480163574 	 0.11231112480163574
121 		 0.06579971313476562 	 0.06579971313476562
138 		 0.1075897216796875 	 0.1075897216796875
103 		 0.05029129981994629 	 0.05029129981994629
278 		 0.7699916362762451 	 0.7699916362762451
141 		 0.10023021697998047 	 0.10023021697998047
